k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
3.2,12.18635734,13.15778971,21.35273163,24.35427007,25.63082731,38.70495646,38.81499418,43.42221669,44.83394796,46.2356031,46.43940042,46.47842532,48.60449673,49.17872284,51.50190365,54.49834195,56.58095228,56.83800153,61.31331544,62.73882423,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.25,12.46912928,13.9115008,20.64291109,24.45837966,25.88379434,37.83417677,39.11552926,43.28310367,44.91854186,46.25388788,46.36086112,46.5616496,48.49987839,50.1265801,51.03834054,54.34240841,57.10569765,57.17469021,60.77814789,62.7279504,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.3,12.80708248,14.76720716,19.9189069,24.58188514,26.07144904,36.92119138,39.47257429,43.11739151,45.04191795,46.20417764,46.27484798,46.69900455,48.38366742,50.59128311,51.10987982,54.18355697,57.40100039,57.78104291,60.24354601,62.71399823,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.35,13.19616418,15.70017438,19.18904939,24.72253768,26.19881712,35.98575803,39.87884353,42.92773246,45.19567,46.00156996,46.29810076,46.84544195,48.26280959,50.1672779,52.11498605,54.02480439,57.72055196,58.39299198,59.72346176,62.69652963,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.4,13.63192607,16.68798432,18.46136288,24.87767594,26.2730142,35.0405635,40.32569425,42.71741322,45.37319794,45.74713242,46.32343372,46.99470538,48.14425024,49.77020424,53.13317708,53.86795906,58.06193264,59.00562574,59.22776622,62.67500028,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.45,14.10955373,17.71047375,17.74378291,25.04422675,26.30240637,34.09450179,40.80358081,42.49043815,45.43753412,45.56876571,46.35080677,47.14054541,48.03368159,49.40228349,53.71431094,54.15835679,58.42286907,58.76366632,59.61498346,62.64876743,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.5,14.62382212,17.04430804,18.74926459,25.21871043,26.29586384,33.15455327,41.30249306,42.25156984,45.0733124,45.77692098,46.38033963,47.27692379,47.93468437,49.06453821,53.56501727,55.18582558,58.33634513,58.80073848,60.21747366,62.61713125,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.55,15.1689518,16.37115699,19.78704728,25.39725476,26.26217151,32.22695759,41.81227526,42.00630448,44.65934527,45.99217692,46.41228227,47.39820047,47.8486804,48.75707177,53.42132692,56.21153279,57.94930489,59.1921872,60.8095011,62.57944646,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.6,15.73283249,15.73833245,20.80681498,25.57562427,26.20961811,31.31808616,41.76077441,42.32277598,44.20466366,46.20885196,46.44697294,47.49933581,47.77552409,48.479304,53.28471037,57.23150755,57.60460009,59.5928056,61.38713423,62.53537029,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.65,15.1381988,16.32401248,21.79101116,25.74927265,26.14574472,30.43527401,41.52158698,42.82381284,43.72208417,46.42101745,46.48478008,47.57615728,47.7142523,48.23020902,53.15691573,57.30309387,58.24123366,59.99675199,61.94571527,62.4853679,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
